"REFNO","ROCKUNITNO","ROCKNAME","PLACE","CONTINENT","TERRANE","RLAT","RLONG","ROCKTYPE","STRATA","STRATAGE","LATSPREAD","LOWAGE","HIGHAGE","METHOD","ISOTOPEDATA","STRUCTURE","STATUS"
"1152","22","Armorican redbeds","France","Europe",,"49.0","-2.0","sediments, redbeds","Jersey(CBU), Normandy(CBL-M), Brittany(CBM-O) redbeds","CB1-O1",,"472","542","stratigraphic,isotopic","Jersey(<= 533+/-16),Normandy(<= 605+/-15)","Strikes all directions/Dips 10-86","Superseded study"
"1152","23","Erquy spillite series","France","Europe",,"49.0","-2.0","extrusives, metabasalts, intrusives","Metamorphic event occurred after folding in PT3-CBL","NP3-CB!",,"513","600","stratigraphic",,"Section overturned,dips steeply to south.","Superseded study"
"1152","24","Tregastel Ploumanac'h granite","France","Europe",,"49.0","-2.0","intrusives, granite",,"C2",,"295","305","Rb-Sr,K-Ar","Rb-Sr whole rock 300+/-5,K-Ar 300+/-6Ma",,"Superseded study"
"1153","25","Dykes","Turkey","Middle East",,"40.5","37.7000008","intrusives, dykes","Eocene intrusives","E2",,"34","56","stratigraphic",,,
"1153","26","Mesudiye formation tuffs","Turkey","Middle East",,"40.5","37.7000008","extrusives, tuffs, agglomerates","Oldest unit in region","K2",,"65","100","stratigraphic",,"Dips 10-15 to North",
"1154","27","Vestfjella lavas and dykes","Antarctica","Antarctica",,"-73.3000031","-15.0","extrusives, basalts, intrusives, dykes","Subaerial basaltic lava flows cut by basaltic dykes","T3-J","2500m thickness","160","230","K-Ar","K-Ar 200-230(lavas),156-172(dykes)","Regional dip of 15 deg WNW",
"1155","28","Bohuslan Dykes","SW Sweden","Europe",,"58.5999985","11.3000002","intrusives, dolerite","Youngest set of dykes,presumed Oslo igneous complex","P1",,"271","299","correlation",,,
"1156","29","Umbrian pelagic carbonates","Italy","Europe",,"43.5","12.6000004","sediments, limestone, marls","Fucoid marls-Albian/Up.Aptian, Majolica lst-Lr Apt/Barremian","K1","130m thickness","100","130","fossils",,"3 sections Dips 55 deg SW,50 deg NE and horizontal.",
"1157","30","Jersey volcanics","Channel Islands, U.K.","Europe",,"49.0","-2.0","extrusives, basalts, tuffs, agglomerates","Jersey andesite formation","CB1-2",,"506","538","Rb-Sr","Rb-Sr whole rock 522+/-16Ma","Folding in Cadomian orogeny(CBU-O)",
"1157","31","Jersey dykes Group A","Channel Islands, U.K.","Europe",,"49.0","-2.0","intrusives, dykes","Dykes only intrude older phase of SW and SE granites(<PT3-O)","C1-2",,"299","326","magnetic",,,
"1157","32","Jersey dykes Group B","Channel Islands, U.K.","Europe",,"49.0","-2.0","intrusives, dykes","Group B intrude SW granite and SE diorite of Jersey","S-D",,"359","444","magnetic",,,
"1157","33","Jersey dykes Group C","Channel Islands, U.K.","Europe",,"49.0","-2.0","intrusives, dykes","Group C dykes intrude SE granite","NP3-CB1",,"513","600","magnetic",,,
"1157","34","Lamprophyre dykes, Jersey","Channel Islands, U.K.","Europe",,"49.0","-2.0","intrusives, lamprophyre dykes","Dykes intrude granites,SE diorite and Rozel Conglomerate","S",,"414","440","K-Ar","K-Ar hornblende 427+/-13(dyke intruding Rozel Conglom.)",,
"1158","35","Bhimtal(Bhowali) volcanics","Durgapipal, Kumaon Himalayas, India","Asia","India","29.2000008","79.9000015","extrusives","Deoban Group.Up.Palaeozoic marine fossils in overlying seds.","P",,"251","299","stratigraphic",,,
"1158","36","Rudraprayag volcanics","Kumaon Himalayas, India","Asia","India","30.2999992","79.0","extrusives","Chamoli formation,Garhwal Group.Underlying seds O-S fossils.","S-D",,"359","444","stratigraphic",,,
"1159","37","Suri Formation","Argentina","South America","Puna Oriental-Famatina","-27.7999992","-68.0999985","sediments, tuffs, shales","Llanvirnian trilobites in strata","O2","29m thickness","461","472","fossils","K-Ar 350+/-10, 304+/-10 (reset).","Strike 358/Dip 24E(tuffs).Strike 332/Dip 18(shales).","Superseded study"
"1159","38","Nunorco Formation Group A","Argentina","South America","Puna Oriental-Famatina","-27.7999992","-68.0999985","extrusives, intrusives, dykes, sills","Post Suri Formation(ROCKUNITNO 37).","S3-D1",,"398","423","stratigraphic,K-Ar","K-Ar 360+/-10; 416+/-25Ma.",,
"1159","39","Nunorco Formation Group B","Argentina","South America","Puna Oriental-Famatina","-27.7999992","-68.0999985","extrusives, intrusives, dykes, sills","Post Suri Formation(ROCKUNITNO 37)","S3-D1",,"398","423","stratigraphic,K-Ar","K-Ar 360+/-10, 416+/-25Ma.",,
"1159","40","La Ojota formation dyke","Argentina","South America",,"-27.7999992","-68.0999985","intrusives, dykes","Intrudes Suri formation(OL) and is SM from stratigraphy.","S2",,"423","428","stratigraphic","K-Ar 297+/-10Ma",,
"1160","41","Camaraca Formation andesites","Chile","South America",,"-18.6000004","-70.3000031","extrusives, andesites","Ammonite assemblages give age as Bajocian-Callovian","J2",,"161","176","fossils","K-Ar isochron 157+/-4 Ma using samples collected here.",,
"1161","42","Arqueros Formation","Chile","South America",,"-29.7999992","-70.9000015","extrusives, andesites","Intercalated sediments with Hauterivian-Barremian fossils.","K1",,"125","136","fossils",,"Westerly dips",
"1161","43","Quebrada Marquesa Formation","Chile","South America",,"-29.7999992","-70.9000015","extrusives, sediments, tuffs, redbeds","Late Neocomian fossils","K1",,"130","140","fossils","K-Ar(5 ages)62.4-81.7 do not plot on isochron(var.init.Ar?).","West and east dips",
"1161","44","Vinita Formation","Chile","South America",,"-29.7999992","-70.9000015","extrusives, grey and red tuffs","Conform.overlies Quebrada Marquesa Fm:late Alb.-early Cenom.","K1",,"97","106","fossils",,"easterly dips",
"1161","45","Elquinos Formation","Chile","South America",,"-29.7999992","-70.9000015","extrusives, tuffs","Overlies Vinita Formation,ie Santonian to early Tertiary.","K2",,"60","86","stratigraphic","K-Ar 59.1","easterly dips",
"1162","46","Spilites de Paimpol","Armorican Massif, France","Europe","Armorican Massif","48.7999992","-3.0","extrusives, spilites","Oldest rocks of Armor. Mas.,coherent since Cadomian orogeny.","NP2",,"628","652","Rb-Sr","Rb-Sr isochron 640+/-12Ma.","Strikes 52-91/Dips 59-75 SE-S.",
"1162","47","Microgranite dykes","Armorican Massif, France","Europe","Armorican Massif","48.7999992","-3.0","intrusives, dykes","Dykes cut Spillites de Paimpol(ROCKUNITNO 46,RESULTNO 54).","NP3",,"541","573","Rb-Sr","Rb-Sr whole rock isochron 557+/-16Ma.",,
"1162","48","Diorite de St.Quay","Armorican Massif, France","Europe","Armorican Massif","48.7999992","-3.0","intrusives, gabbro sill","Reheated by Gabbro de Keralain 581+/-2 Ma","NP2-3",,"581","623","Rb-Sr","Rb-Sr isochron 583+/-40.",,
"1162","49","Gabbro de Keralain","Armorican Massif, France","Europe","Armorican Massif","48.7999992","-3.0999999","intrusives, gabbro sill",,"NP3",,"579","581","40Ar/39Ar","40Ar/39Ar age 581+/-2 Ma - see REFNO 907",,
"1162","50","Granite de Porz-Scarff","Armorican Massif, France","Europe","Armorican Massif","48.9000015","-3.20000005","intrusives, granite",,"NP3",,"541","573","Rb-Sr","Rb-Sr whole rock isochron 557+/-16",,
"1162","51","Rhyolites","Armorican Massif, France","Europe","Armorican Massif","48.7999992","-3.0999999","extrusives, rhyolite","Includes rhyolites of Lezardrieux & St.Germain-le-Gaillard.","NP3-CB1",,"538","554","stratigraphic,Rb-Sr","Rb-Sr w.r.isochron 546+/-8,Rh.of Lezard.Rb-Sr 547+/-12.","Strikes 220-266/Dips 32-90 NW",
"1163","52","La Tinta Formation","Argentina","South America",,"-37.0","-60.2000008","sediments, sandstones, limestones",,"NP2",,"685","733","Rb-Sr","Rb-Sr 709+/-24 for samples from 2 sites","Strikes 59-151/Dips 2-13.",
"1164","53","Redbeds","Carteret, France","Europe",,"49.7000008","-1.70000005","sediments, redbeds","Redbeds have Cambrian fossils,overlying beds CBL fossils.","CB1",,"520","542","stratigraphic,fossils",,"No details,but see dispute in REFNO 1166,RESULTNO 624.",
"1166","54","Redbeds","Carteret, France","Europe",,"49.7000008","-1.70000005","sediments, redbeds","Fossils suggest CB age,but overlying fossils CBL age.","CB1",,"520","542","stratigraphic,fossils",,"Strike 350/Dip 14 E and Strike 196-206/Dip 23-33.",
"1167","55","Djebel Oust Sediments","Tunisia","Africa",,"36.2000008","10.0","sediments, limestone, shale","Upper Callovian-Oxfordian red lst,Kimmer.-Portland.lst,shale","J3",,"151","163","fossils",,,
"1168","56","Deccan traps, Dhar region","India","Asia","India","22.3999996","75.4000015","extrusives","Upper Maastrichtian(67 Ma) to Lower Paleocene(61 Ma)","K2-E1",,"61","67","40Ar/39Ar,fossils","40Ar/39Ar age 65.5+/-2.5 Ma - see REFNO 393",,"Superseded study"
"1169","57","Rhum and Canna igneous rocks","U.K.","Europe",,"57.0","-6.5","extrusives, intrusives, dykes","Part of the British Tertiary igneous province.","E1",,"58","60","40Ar/39Ar","40Ar/39Ar 58.6+/-0.9",,
"1170","58","Adma diorite","Mali","Africa",,"18.2999992","1.20000005","intrusives, diorite","Intrudes Serie de Tafeliant and is of Pan-African age.","NP2",,"610","620","U-Pb","U-Pb zircon ages 616+/-11; 613+/-3 Ma.",,
"1170","59","Tabankort rhyolite","Mali","Africa",,"19.7000008","1.10000002","extrusives, rhyolite","Considered equivalent to nearby dated granites(590 Ma).","NP3",,"575","605","U-Pb","U-Pb zircon on nearby granite 590.","Lavas 'sub-horizontal'",
"1171","60","Sunnhordland Dykes","Norway","Europe",,"60.5","4.69999981","intrusives, dykes","Intrude Precambrian basement,metamorphosed Palaeozoic rocks.","P-J?",,"164","274","K-Ar","K-Ar amphibole and whole rock 164-274.","Possible tilt 15 deg E?",
"1172","61","Younger Gabbros Aberdeenshire","Scotland, U.K.","Europe",,"57.2000008","-2.5","intrusives, gabbro","Huntly,Insch and Boganclogh bodies","CB2-O3",,"472","506","Rb-Sr","Rb-Sr 489+/-17, K-Ar 468+/-4.",,
"1173","62","Hornsund dolerite dykes","South Spitsbergen (Svalbard), Norway","Europe","Spitsbergen","77.0","15.5","intrusives, dolerite","Intrude Precambrian sediments,granites and metamorphics.","K2",,"105","115","K-Ar","K-Ar(rev.dyke) 110+/-5,(normal dyke)66.8+/-4.3(Ar loss?).",,"Superseded study"
"1174","63","Dyke swarm, Skye","Scotland, U.K.","Europe",,"57.0999985","-5.9000001","intrusives, dykes","British Tertiary igneous province","E1-2",,"44","60","K-Ar","See RESULTNO 68,145,146",,
"1174","64","Red lamprophyre dyke, Skye","Scotland, U.K.","Europe",,"57.0999985","-5.9000001","intrusives, dyke","Dykes not of Tertiary age but of Devonian(Caledonian)age?","D?",,"359","416","stratigraphic",,"15 deg tilt is suggested but not applied.",
"1175","65","South Lewisian Complex","Scotland, U.K.","Europe",,"57.7000008","-5.5999999","intrusives, amphibolites","Complex c.2900-2700Ma,reworked in Laxfordian(peak 1850).","MA-NA",,"2700","2900","isotopic","Peak deform.1850,end 1800.3 metamorph.events 1700,1500,1400.","No structural corrections applied.",
"1176","66","Dykes","SE Greenland, Denmark","Greenland",,"66.0","-36.0","intrusives, dolerite","Related to initial rifting between Greenland and Eurasia.","E2",,"52","56","correlation,K-Ar","K-Ar ages 45.8 - 558!","Related to basalts associated with rifting.",
"1177","67","Marsden Park Breccia pipe","Sydney Basin, Australia","Australia",,"-33.7000008","150.800003","intrusives, basalts, breccias","Intrusion into Sydney Basin seds.(late Palaeozoic-Mesozoic).","J3-K1",,"130","150","correlation",,,
"1177","68","St.Mary's Breccia pipe","Sydney Basin, Australia","Australia",,"-33.7999992","150.800003","intrusives, breccia","Intrusion into Sydney Basin seds.(late Palaeozoic-Mesozoic).","J3-K1",,"130","150","correlation",,,
"1177","69","Prospect dolerite","Sydney Basin, Australia","Australia",,"-33.7999992","150.899994","intrusives, dolerite","Intrusion into Sydney Basin seds.(late Palaeozoic-Mesozoic).","J2",,"163","173","K-Ar","K-Ar 168",,
"1177","70","Dundas Breccia pipe","Sydney Basin, Australia","Australia",,"-33.7999992","151.100006","intrusives, breccia","Intrusion into Sydney Basin seds.(late Palaeozoic-Mesozoic).","J3-K1",,"130","150","correlation",,,
"1178","71","Ordovician dolerites","Crozon Peninsula, France","Europe",,"48.2000008","-4.5","intrusives, dolerite","Lge dolerite sills in sed.sequence + cogenetic volc.complex.","O3",,"444","461","fossils","K-Ar 192-310 appear affected by later thermal events.","Strikes 239-263/Dips 49-59.",
"1179","72","NE Dolerite dykes, Indian Shield","India","Asia","India","14.1999998","77.8000031","intrusives, dykes","Dykes NE-SW trend intrude basement.Cut ENE dykes of RES.#92.","PP","8 km","1700","2500","stratigraphic",,,
"1179","73","ENE Dolerite dykes, Indian Shield","India","Asia","India","14.1999998","77.5999985","intrusives, dykes","Intrudes Archean gneiss,pre Cuddapah Basin and post NE dykes","PP","8 kms","1700","2500","stratigraphic",,,
"1179","74","NE dyke, Indian Shield","India","Asia","India","14.3999996","77.6999969","intrusives, dolerite","Intrudes Archean gneiss and is post Cuddapah Basin.","PP",,"1700","2500","stratigraphic",,,
"1180","75","Volcanic Hills","San Luis and Cordoba Provinces, Argentina.","South America",,"-33.0","-65.0","extrusives, basalts",,"K2","150 km","66","85","K-Ar","K-Ar 66-85.",,
"1181","76","Level Mountain Volcano","British Columbia, Canada","North America",,"58.5","-131.300003","extrusives",,"N1-3","10 km","1","7","Fission track,magnetostratigr.","Fission track 4.61,2.46 and 2.61",,
"1182","77","East Maio Island Volcanics","Cape Verde","Atlantic Ocean",,"15.1999998","-23.1000004","extrusives, intrusives","Mainly dykes and sills intruding Albian-Cenomanian seds.","K2","5 km","70","90","K-Ar,correlation","K-Ar dates by correlation with DSDP results.","Strikes 225-360/Dips 35-75",
"1183","78","Zig-Zag Dal Basalts","Greenland, Denmark","Greenland",,"81.1999969","-25.2000008","extrusives, basalts","Post Independence Fjord Grp(1380Ma).Correlated sills 1250Ma.","MP","20 km","1200","1300","correlation","K-Ar 1250 for correlated sills of ROCKUNITNO 79,RESULTNO 99.",,
"1183","79","Midsommersoe Dolerite","Greenland, Denmark","Greenland",,"81.8000031","-32.2000008","intrusives, dolerites","Intrude Independence Fjord Group(1380Ma).","MP","130 km","1200","1300","K-Ar","K-Ar 1250",,
"1184","80","Takena Formation Redbeds","Lhasa Block, Tibet, China","Asia","Lhasa","29.8999996","91.0","sediments, redbeds","Base Alb.-Cenoman.,top unkn.North of Yarlung-Zangbo suture.","K1-2","45 km","86","112","stratigraphic","K-Ar on overlying formation 60-48Ma.","Folding latest Cretaceous.",
"1184","81","Volcanics Lingzizong Formation","Lhasa Block, Tibet, China","Asia","Lhasa","29.8999996","91.0","extrusives","Uncomformably overlie folded Takena Formation(ROCKUNITNO 80)","K2-E1","40 km","50","80","stratigraphic,K-Ar","K-Ar 48 and 60Ma",,
"1185","82","Breggia profile limestones","Italy","Europe",,"45.9000015","9.0","sediments, limestones","Pliensbachian to Bajocian","J1-2","Thickness 120m","168","190","fossils",,"Dips 50-60 deg to SW",
"1185","83","Alpe Turati profile limestones","Italy","Europe",,"45.7999992","9.19999981","sediments, limestones","Pliensbachian to Toarcian","J1","Thickness 10m","176","190","fossils",,"Dip of 5 deg to SW",
"1186","84","Ordovician volcanics","Cabo de Penas, Spain","Europe","Iberia","43.7000008","-5.80000019","extrusives","Upper part of Ord.series.Sea cuts north limb Asturian arc.","O",,"444","488","stratigraphic",,"Strike 224/Dip 48 SE.",
"1187","85","Borrolan Ledmorite","NW Scotland, U.K.","Europe",,"58.0999985","-5.0","intrusives","Outer suite,Borrolan Complex.Intrudes marginal thrust belt.","O3-S1",,"428","461","stratigraphic,Pb isotope","Pb isotope 438",,
"1187","86","Borrolan pseudoleucite","NW Scotland, U.K.","Europe",,"58.0","-4.9000001","intrusives","Outer phase of Borrolan compl.Intrudes marginal thrust belt.","O3-S1",,"428","461","stratigraphic,Pb isotope","Pb isotope 430",,
"1187","87","Borrolan syenite","NW Scotland, U.K.","Europe",,"58.0","-4.9000001","intrusives, syenite","Inner phase of Borrolan complex.Probably post outer phase.","S",,"416","444","stratigraphic",,,
"1187","88","Ben Loyal syenite complex","NW Scotland, U.K.","Europe",,"58.4000015","-4.4000001","intrusives",,"O3-S1",,"428","461","stratigraphic",,,
"1187","89","Loch Ailsh complex","NW Scotland, U.K.","Europe",,"58.0999985","-4.80000019","intrusives","Similar to Borrolan inner phase syenite(ROCKUNITNO 87)","S",,"416","444","stratigraphic",,,
"1187","90","Achmelvich dyke","NW Scotland, U.K.","Europe",,"58.2000008","-5.30000019","intrusives, dyke","Single dyke only","S",,"415","444","stratigraphic",,,
"1187","91","Lamprophyre dykes","NW Scotland, U.K.","Europe",,"58.2000008","-5.0","intrusives, dykes","2 dykes only","S",,"416","444","stratigraphic",,,
"1188","92","Keratophyre tuffs of Treguier","Armorican Massif, France","Europe",,"48.7999992","-3.0999999","extrusives, tuffs","Upp.Brioverian Ser.,overlain by Spillites de Paimpol(RES.54)","NP2",,"628","652","Rb-Sr","Rb-Sr 640+/-12","Strikes 38-108/Dips 33-90.Deformation-late PT3 Cadomian orog",
"1188","93","Tregor microgranites","Armorican Massif, France","Europe",,"48.7999992","-3.0999999","intrusives, granite","RESULTNO 115-At distance from dol.dykes.116-Close to dykes.","NP3-CB1",,"524","572","Rb-Sr","Rb-Sr 548+/-24.",,
"1189","94","Granites","Big Springs, Kansas, U.S.A.","North America",,"39.2000008","-95.8000031","intrusives, granite","Borehole in basement rocks. 3m long core from depth of 905m.","MP","Thickness 3m","1327","1351","U-Pb","U-Pb 1339+/-12.",,
"1189","95","Granites","Osawattamia, Kansas, U.S.A.","North America",,"38.5","-95.0","intrusives, granite","Borehole in basement.7m long core from depth of 658.1m.","MP","Thickness 7m","1356","1367","U-Pb","U-Pb 1361+/-6.",,
"1190","96","Loess deposits","Lochuan, China","Asia",,"35.7999992","109.199997","sediments, loess","Brunhes-Matuyama chrons and Jaramillo subchron.","N3",,"0","2","magnetostratigraphy",,,
"1191","97","Agardhbukta dolerite sills","East-Central Spitsbergen (Svalbard), Norway","Europe","Spitsbergen","78.0999985","18.6000004","intrusives, sills","Intrusive into JU marine shales","K1-2",,"96","104","isotopic","Isotopic age of 100+/-4.",,"Superseded study"
"1192","98","Longmyndian sediments","Wales, U.K.","Europe",,"52.5999985","-2.79999995","sediments","Overlie Uriconian Grp-558,& post Uriconian granophyre-533Ma.","CB1",,"530","540","Rb-Sr,fission track","Rb-Sr is.516+/-6,448+/-31; Fission track 526+/-8,528+/-41Ma.",,
"1192","99","Batch volcanics","U.K.","Europe",,"52.5","-2.79999995","extrusives","Post Uriconian represented by tuff bands in Synalds Group.","CB1",,"530","540","Rb-Sr","Rb-Sr on late or post-Uriconian granophyre 533+/-13.","Uniform dip to NW.",
"1193","100","Newer Gabbros, Aberdeenshire","Scotland, U.K.","Europe",,"57.5","-2.5","intrusives, gabbro","Cooling history defined by K-Ar biotite chrontours","O2-D1",,"468","470","K-Ar","K-Ar chrontours 408 to >=468Ma.",,
"1194","101","San Pedro Formation","Asturias, Spain","Europe","Iberia","43.0","-6.0","sediments, quartzite (hematitic)",,"D1",,"398","416","fossils",,"Asturian arc(around nose of plunging fold-age Mid-Carbonif.)",
"1195","102","Sukinda chromites","India","Asia","Singhbhum-Orissa","21.0","85.8000031","intrusives, chromites","Stratiform deposits in ultramafic rocks.","PP",,"1700","1900","magnetic correlation",,"Folding in Eastern Ghats orogeny(1570-1625Ma)",
"1377","103","Ardnamurchan igneous complex","U.K.","Europe",,"56.7000008","-6.19999981","intrusives","Part of British Tertiary igneous province","E1",,"58","61","K-Ar,Rb-Sr","K-Ar ages 57.7-63.0. Chron 26r suggested (58.2-61.0Ma).",,
"1196","104","Ocros dyke swarm","Peru","South America",,"-13.3000002","-73.8000031","intrusives, dykes","Dykes within the Barosso Group(youngest volcanic formation).","N1",,"5","7","K-Ar","K-Ar ages 5-7Ma.","Dykes are vertical no correction necessary.",
"1197","105","Montmartin redbeds","Normandy, France","Europe",,"49.0","-1.29999995","sediments, redbeds","Hyenville Formation in Montmartin syncline.Age >D,likely OL.","O1?",,"472","488","correlation with other redbeds",,"Folding Late Carboniferous",
"1198","106","Cordova Gabbro","Ontario, Canada","North America","Grenville Province","44.5","-77.8000031","intrusives, gabbro","Intrudes volcanics (1310 +/- 15Ma).","MP",,"1150","1200","K-Ar","K-Ar 1150-1200.See REFNO 1935 for O-S event 450 +/- 30 Ma",,
"1199","107","Dolerite dykes Group 1","Andhra Pradesh, India","Asia","Singhbhum-Orissa","18.3999996","79.0999985","intrusives, dykes","Dykes trend N60E,intrude granites dated at 2000Ma.","MP",,"1300","1500","magnetic",,"Vertical dykes.",
"1199","108","Dolerite dyke","Andhra Pradesh, India","Asia","Singhbhum-Orissa","18.3999996","79.0999985","intrusives, dyke","Intrudes granites dated at 2000Ma","PP",,"1780","1880","magnetic",,"Vertical dip",
"1200","109","Ratagan complex","Scotland, U.K.","Europe",,"57.2000008","-5.5","intrusives, syenites, diorites","Part of Newer Granite suite,postdates Grampian metamorphism.","S3-D1",,"410","420","Rb-Sr","Rb-Sr isochrons give 415+/-5 Ma.",,
"1200","110","Comrie Intrusion","Scotland, U.K.","Europe",,"56.4000015","-4.0","intrusives, mainly diorites","Part of Newer Granite suite,post dates Grampian metamorphism","S3-D1",,"403","413","Rb-Sr","Rb-Sr isochrons 408+/-5 Ma.",,
"1201","111","Otway Group","Victoria, Australia","Australia",,"-38.4000015","144.199997","sediments",,"K1",,"110","115","stratigraphic","Fission track 103-126Ma.","Strike 005/Dip 25 E.",
"1201","112","Point Addis Limestone","Victoria, Australia","Australia",,"-38.4000015","144.300003","sediments, limestone","Precise dating by fossils.","E3",,"23","28","fossils",,,
"1201","113","Port Campbell Limestone, Glenample Formation","Victoria, Australia","Australia",,"-38.7000008","143.100006","sediments, limestone","Glenample formation overlain by Port Campbell limestone","N1",,"10","14","fossils",,"Essentially horizontal",
"1201","114","Werriko Limestone, Newer Volcanics","Victoria, Australia","Australia",,"-38.0","142.5","sediments, limestone, extrusives","Werriko limestone overlain by Pliocene basalts","N2",,"2","4","stratigraphic",,,
"1201","115","North Rankin 1 Drillcore","Carnarvon Basin, Western Australia","Australia",,"-19.6000004","116.099998","sediments, sandstones, siltstones","Samples from depth of 2276-2293m.Mid-Paleocene","E1",,"58","62","fossils",,,
"1202","116","Tudor gabbro","Ontario, Canada","North America","Grenville Province","44.7000008","-77.6999969","intrusives, gabbro","In low metamorphic grade region of Grenville Province.","MP",,"1090","1130","40Ar/39Ar","40Ar/39Ar hornblendes,init.cooling to 590C at 1110+/-20 Ma.",,
